"P.value_Factor1Group2"	"P.value_Age"	"P.value_GenderM"	"Estimate_Factor1Group2"	"Estimate_Age"	"Estimate_GenderM"	"StdError_var_Factor1Group2"	"StdError_var_Age"	"StdError_var_GenderM"	"t-statistic_Factor1Group2"	"t-statistic_Age"	"t-statistic_GenderM"	"mz"	"time"	"Subject1TP0"	"Subject1TP1"	"Subject1TP2"	"Subject1TP3"	"Subject2TP0"	"Subject2TP1"	"Subject2TP2"	"Subject2TP3"	"Subject3TP0"	"Subject3TP1"	"Subject3TP2"	"Subject3TP3"	"Subject4TP0"	"Subject4TP1"	"Subject4TP2"	"Subject4TP3"	"Subject5TP0"	"Subject5TP1"	"Subject5TP2"	"Subject5TP3"	"Subject6TP0"	"Subject6TP1"	"Subject6TP2"	"Subject6TP3"	"Subject7TP0"	"Subject7TP1"	"Subject7TP2"	"Subject7TP3"	"Subject8TP0"	"Subject8TP1"	"Subject8TP2"	"Subject8TP3"	"Subject9TP0"	"Subject9TP1"	"Subject9TP2"	"Subject9TP3"	"Subject10TP0"	"Subject10TP1"	"Subject10TP2"	"Subject10TP3"	"Subject11TP0"	"Subject11TP1"	"Subject11TP2"	"Subject11TP3"	"Subject12TP0"	"Subject12TP1"	"Subject12TP2"	"Subject12TP3"	"Subject13TP0"	"Subject13TP1"	"Subject13TP2"	"Subject13TP3"	"Subject14TP0"	"Subject14TP1"	"Subject14TP2"	"Subject14TP3"	"Subject15TP0"	"Subject15TP1"	"Subject15TP2"	"Subject15TP3"	"Subject16TP0"	"Subject16TP1"	"Subject16TP2"	"Subject16TP3"	"Subject17TP0"	"Subject17TP1"	"Subject17TP2"	"Subject17TP3"	"Subject18TP0"	"Subject18TP1"	"Subject18TP2"	"Subject18TP3"
0.000852742452663237	0.26906338121722	0.773440414875309	-0.66113265961207	-0.0135727712737949	-0.056143558892904	0.189440725444844	0.0121802753366489	0.194250554423899	-3.48991832701021	-1.11432384725788	-0.289026505275171	369.12935	49.7	7.98	7.62	7.05	6.58	8.56	7.27	7.21	6.18	8.36	7.05	7.1	6.96	8.5	7.27	7.15	7.35	9	7.35	7.1	6.58	8.93	7.5	7.15	6.75	7.69	6.18	7.05	6.51	7.94	6.28	7.21	6.63	7.88	5.35	7.21	4.3	6.63	6.7	7.05	6.79	4.66	6.18	7.01	6.75	6.92	6.75	6.42	6.58	6.51	6.58	6.79	6.51	6.75	6.88	6.51	4.66	6.58	6.42	6.34	6.84	6.63	6.84	6.96	6.34	6.88	6.84	6.84	5.22	6.84	6.7	6.42	6.79
4.16408923205409e-08	0.825633540756759	0.513971711502584	1.13393902661648	-0.00261042409150004	0.123506341314007	0.183581178617516	0.0118035300853981	0.188242235899946	6.17677168844744	-0.221156219589709	0.656103242311954	124.04031	125	6.79	4.18	4.18	5.08	6.34	4.66	4.18	4.3	6.18	3.93	4.66	4.18	6.18	4.07	4.5	4.38	6.79	4.5	4.66	3.82	6.92	4.66	4.66	3.39	6.07	4.5	4.38	4.38	5.7	4.5	5.35	3.82	5.7	4.5	4.5	4.07	6.42	5.94	5.22	5.22	5.22	5.94	5.08	6.28	6.51	6.18	5.53	5.7	6.18	5.94	5.83	5.53	6.51	5.94	6.34	6.18	6.28	5.83	6.88	6.07	6.51	6.07	6.34	6.28	5.7	5.83	6.34	6.63	6.7	6.07	5.35	6.28
0.00119446189719671	0.729262254200978	0.854193261401197	-0.569814788242783	-0.00376413652205134	-0.031863858588447	0.16845428550515	0.0108309318087391	0.172731276644019	-3.38260784837892	-0.347535797336862	-0.184470694639252	133.06077	123.4	10.85	9.4	8.61	8.5	10.62	9.4	8.79	8.4	10.14	9.4	8.31	8.4	10.14	9.4	7.94	8.24	10.49	9.34	8.24	8.4	10.49	9.34	8.11	8.45	10.3	9.4	8.67	8.5	10.14	9.48	8.86	8.56	10.3	9.48	8.67	8.45	8.24	9	8.79	7.98	8.2	9	8.79	7.98	8.4	9.09	9	8.24	8.61	8.93	8.93	8.24	8.36	8.93	9	8.31	8.31	9.09	8.67	8.03	8.4	9.09	8.56	8.2	8.2	9.8	8.56	7.94	8.4	9.62	8.61	8.07
0.63570765636114	0.11233565061903	0.632286883201341	0.0790348640489076	-0.0171784473560241	0.0818644079082078	0.166092551131088	0.0106790818045727	0.170309578719847	0.475848335826509	-1.60860715091334	0.480679997705071	162.1124	94	8.2	6.92	5.94	4.5	7.88	6.84	6.34	4.5	8.07	6.18	6.42	6.51	7.88	6.34	6.63	5.94	8.56	6.79	6.34	4.96	8.2	6.34	6.79	5.53	7.27	6.75	6.79	5.83	7.41	6.51	6.7	6.51	7.27	6.79	6.84	6.34	6.84	6.96	6.75	6.84	6.75	6.7	6.84	6.7	6.7	6.84	6.92	6.51	6.92	6.96	6.88	6.58	7.15	6.92	6.7	6.58	6.75	6.88	6.42	6.63	7.01	6.96	6.42	6.84	6.79	7.15	6.63	6.84	6.79	6.88	6.28	6.84
0.392913079177674	0.511801449630992	0.798221102605439	0.1577835728238	-0.00778138405274805	0.0482940791653009	0.183509076421394	0.0117988942047073	0.188168303056103	0.859813453921377	-0.65950112932139	0.256653636031898	457.11102	99.9	8.86	7.21	6.63	5.35	8.31	7.05	6.58	5.53	7.88	6.63	6.75	6.07	7.76	6.58	6.7	6.88	8.5	6.7	6.88	5.94	8.45	7.35	6.63	6.12	7.1	6.7	6.7	4.5	7.1	7.1	6.96	4.38	7.56	7.1	6.51	4.96	7.05	6.92	7.15	7.35	7.21	7.35	7.15	7.05	7.21	7.27	6.88	6.63	7.05	7.35	6.51	6.63	6.84	7.15	6.88	6.75	6.79	6.92	7.01	6.88	6.88	7.21	7.01	6.42	6.75	6.96	6.51	6.96	6.92	7.05	6.96	6.96
0.02074822186077	0.434494683850341	0.805088775508518	-0.354879340712712	-0.00757622144577625	-0.0380731028076913	0.14988160575532	0.00963678333532553	0.153687043520069	-2.3677311096603	-0.786177418558754	-0.247731376280393	147.11277	124.4	9.88	8.93	8.72	7.82	9.8	8.93	8.86	7.76	9.62	8.93	8.4	8.24	9.62	9.17	8.45	8.31	9.8	8.86	8.72	7.98	9.8	8.93	8.72	8.11	9.62	8.72	8.72	8.11	9.62	8.79	8.72	7.98	9.8	8.72	8.79	8.07	9.4	8.2	8.67	7.88	9.4	8.2	8.72	7.82	9.17	7.76	8.79	7.94	9.25	7.82	8.79	7.88	9.4	7.76	8.79	8.03	9.34	8.03	8.61	8.2	9.4	8.03	8.4	8.07	9.17	7.98	8.67	8.16	9.17	7.76	8.56	8.03
2.50810992356968e-11	0.827888164147423	0.50369940659062	1.0209720255676	0.00179811555579228	-0.0883289027088122	0.128138620419526	0.00823879698677875	0.131392011940186	7.96771513712989	0.218249771013634	-0.672254739116275	258.10637	63.3	8.5	8.07	8.45	8.86	8.16	8.31	8.45	8.86	7.69	7.98	7.98	9.09	7.5	8.16	8.16	9.17	8.36	8.2	7.88	8.93	8.16	8.31	7.98	9	7.5	8.16	8.24	9	7.69	8.11	8.11	9	7.21	7.98	8.16	9	8.67	9.17	9.97	9.25	9.17	9.34	10.04	9.09	8.5	9	10.14	9.34	8.72	9.25	10.22	9.25	8.79	9.25	10.22	9.25	8.4	9.34	9.97	8.93	8.61	9.25	9.97	8.93	8.36	9.34	9.88	9.25	8.5	9.48	9.97	9.34
0.000139492425620504	0.800123975862193	0.869900912607044	-1.5042078348534	0.00608827069146037	-0.0628016140013268	0.372537312710886	0.0239526481507007	0.381995895379678	-4.03773738503548	0.254179439916428	-0.164403897426453	258.10637	63.3	5.35	8.31	8.93	9.34	4.66	8.11	9.09	9.4	3.82	8.11	8.86	9.55	5.08	8.2	8.72	9.4	4.96	8.24	8.79	9.4	4.82	8.11	8.86	9.34	3.66	7.94	8.79	9.55	3.93	8.16	9	9.4	3.39	8.16	9	9.55	5.35	6.84	5.35	6.51	6.18	6.51	5.22	5.53	6.42	6.28	6.58	6.79	6.34	5.83	6.75	6.92	6.28	5.22	6.58	7.15	6.34	5.22	5.35	6.58	5.83	6.18	6.28	6.51	5.94	6.28	6.58	6.92	5.53	5.22	6.92	6.58
3.80321079938758e-16	0.435501385413642	0.913125169723119	3.40006776682282	0.0160917774600231	0.0358241044839482	0.319047944553562	0.0205134973017495	0.327148452223274	10.6569179487443	0.784448269513298	0.109504123404805	203.05242	59.5	7.88	6.34	6.42	4.07	7.5	6.96	6.28	4.38	5.22	7.21	3.82	4.07	3.93	6.79	4.07	4.18	6.34	6.58	4.5	7.05	6.18	6.42	4.5	6.92	8.11	7.35	3.82	5.35	8.2	7.41	2.5	6.34	8.16	7.01	3.14	5.22	8.45	9.4	10.3	9	8.31	9.25	10.3	9.17	8.2	9.48	10.3	9.17	7.94	9.48	10.38	9.09	7.82	9.55	10.3	6.63	8.36	9.62	10.49	9.25	8.5	9.8	10.62	9.34	8.4	9.88	9.72	8.93	8.2	9.8	9.8	8.93
2.3719754062801e-06	0.594999931914058	0.0348590550039668	1.33701443231317	-0.00890799115983595	-0.572682711242578	0.259392006614789	0.0166778608626784	0.265977872391123	5.15441647474784	-0.534120726463798	-2.15312163412016	153.05442	152.2	5.53	8.16	5.35	7.1	5.22	7.98	6.07	6.92	5.53	8.03	6.58	6.84	5.22	7.94	6.58	6.79	6.07	8.16	6.51	6.63	5.94	8.07	6.75	6.51	4.66	7.88	6.63	7.05	4.82	7.88	6.28	6.88	4.82	7.94	6.7	7.15	9.09	7.76	8.31	6.07	8.86	7.76	8.45	6.34	9.25	7.94	8.56	6.07	9.4	7.62	8.4	6.18	9.34	7.62	8.61	5.94	8.86	7.94	8.2	6.28	8.93	7.94	7.98	5.83	8.93	7.88	8.03	6.18	9	7.98	8.16	6.34
