"max.fold.change.log2"	"degree_rank"	"diffexp_rank"	"P.value"	"adjusted.P.value"	"mz"	"time"	"Subject.1.TP.0"	"Subject.1.TP.1"	"Subject.1.TP.2"	"Subject.1.TP.3"	"Subject.2.TP.0"	"Subject.2.TP.1"	"Subject.2.TP.2"	"Subject.2.TP.3"	"Subject.3.TP.0"	"Subject.3.TP.1"	"Subject.3.TP.2"	"Subject.3.TP.3"	"Subject.4.TP.0"	"Subject.4.TP.1"	"Subject.4.TP.2"	"Subject.4.TP.3"	"Subject.5.TP.0"	"Subject.5.TP.1"	"Subject.5.TP.2"	"Subject.5.TP.3"	"Subject.6.TP.0"	"Subject.6.TP.1"	"Subject.6.TP.2"	"Subject.6.TP.3"	"Subject.7.TP.0"	"Subject.7.TP.1"	"Subject.7.TP.2"	"Subject.7.TP.3"	"Subject.8.TP.0"	"Subject.8.TP.1"	"Subject.8.TP.2"	"Subject.8.TP.3"	"Subject.9.TP.0"	"Subject.9.TP.1"	"Subject.9.TP.2"	"Subject.9.TP.3"	"Subject.10.TP.0"	"Subject.10.TP.1"	"Subject.10.TP.2"	"Subject.10.TP.3"	"Subject.11.TP.0"	"Subject.11.TP.1"	"Subject.11.TP.2"	"Subject.11.TP.3"	"Subject.12.TP.0"	"Subject.12.TP.1"	"Subject.12.TP.2"	"Subject.12.TP.3"	"Subject.13.TP.0"	"Subject.13.TP.1"	"Subject.13.TP.2"	"Subject.13.TP.3"	"Subject.14.TP.0"	"Subject.14.TP.1"	"Subject.14.TP.2"	"Subject.14.TP.3"	"Subject.15.TP.0"	"Subject.15.TP.1"	"Subject.15.TP.2"	"Subject.15.TP.3"	"Subject.16.TP.0"	"Subject.16.TP.1"	"Subject.16.TP.2"	"Subject.16.TP.3"	"Subject.17.TP.0"	"Subject.17.TP.1"	"Subject.17.TP.2"	"Subject.17.TP.3"	"Subject.18.TP.0"	"Subject.18.TP.1"	"Subject.18.TP.2"	"Subject.18.TP.3"
-4.46666666666667	63	7	3.84521443416936e-32	5.43823184261095e-31	363.21618	42	3.14	2.5	1.76	1.76	2.5	2.5	3.14	1.76	2.5	1.76	1.76	1.76	3.66	1.76	1.76	1.76	3.14	1.76	1.76	1.76	3.14	1.76	1.76	1.76	4.18	2.5	1.76	1.76	3.66	2.5	1.76	1.76	4.18	2.5	1.76	1.76	6.28	6.88	7.62	6.88	6.28	6.58	7.69	7.15	6.34	6.63	7.01	7.21	3.66	6.88	7.1	7.1	6.07	6.51	7.27	7.35	6.42	6.84	8.03	7.5	3.66	6.79	8.16	7.35	6.63	6.58	7.01	6.88	6.42	6.63	7.1	7.01
-3.50027777777778	72	16	5.20048330607539e-17	3.21779904563415e-16	363.21618	42	8.36	7.1	6.7	4.82	8.45	7.41	7.1	3.93	5.08	7.56	4.18	5.53	5.53	7.62	3.93	4.66	5.08	7.27	4.07	7.15	5.35	7.56	4.18	7.21	8.4	7.76	3.39	4.96	8.5	7.94	4.3	6.28	8.5	7.76	3.93	6.28	9.34	9.8	10.38	9.34	9.25	9.8	10.85	9.34	8.56	9.8	10.62	9.4	8.56	9.8	10.62	9.4	8.61	9.8	10.62	9.48	9	10.04	11.12	9.88	9	9.97	10.85	9.97	8.67	10.14	10.3	9.34	8.86	10.04	10.04	9.25
2.00083333333333	37	43	5.42997673252656e-06	1.25015743376774e-05	120.06562	119.5	4.82	9.55	8.67	8.79	3.82	9.55	8.67	8.79	5.35	9.62	8.11	8.86	4.66	9.62	7.98	8.86	4.3	9.8	8.11	9	3.66	9.88	8.16	8.93	4.5	9.55	8.45	8.86	4.38	9.62	8.56	8.72	5.08	9.4	8.56	8.86	5.53	5.22	8.07	5.7	7.56	5.35	5.35	5.7	6.28	5.35	4.96	5.08	7.56	5.08	5.22	5.7	5.53	5.35	5.08	5.53	7.88	6.7	5.53	5.53	5.94	6.7	5.08	6.07	6.07	5.22	5.22	5.94	6.28	5.35	5.53	5.83
-0.271666666666667	60	79	0.118912493140687	0.149016921783899	123.05531	52.8	8.67	10.62	9.25	9.55	8.79	10.62	9.25	9.55	8.72	10.85	9.09	9.34	8.79	10.85	9.09	9.34	9.34	10.85	9	9.55	9.34	10.85	9	9.62	8.5	10.62	9.17	9.8	8.36	10.62	9.17	9.8	8.45	10.62	9.25	9.8	11.12	10.14	10.85	7.62	11.12	10.04	10.62	7.69	11.12	9.97	10.85	7.56	11.12	9.88	10.85	7.82	11.12	9.97	10.85	7.76	10.85	10.14	10.22	7.62	10.85	10.22	10.3	7.69	10.85	10.04	10.49	7.62	10.85	10.14	10.22	7.69
-1.99333333333333	64	24	1.3788078260075e-13	5.68758228228094e-13	123.05531	52.8	5.22	6.84	3.66	4.38	4.3	6.58	4.07	5.22	4.66	6.7	5.08	4.38	3.14	6.75	4.82	5.22	4.66	6.18	5.22	4.5	4.5	6.58	4.3	4.07	4.38	6.07	4.5	5.22	3.82	6.18	4.38	4.66	3.82	6.18	4.96	4.66	7.88	7.01	7.88	5.83	7.88	6.63	7.82	6.18	8.11	7.05	7.35	5.22	7.98	6.92	7.62	6.07	8.11	7.05	7.69	5.35	7.76	6.79	7.62	5.35	7.82	7.1	7.56	5.08	7.88	6.79	7.15	6.28	7.88	6.92	7.05	4.96
-3.84666666666667	84	13	1.80431713112254e-19	1.37405689216255e-18	137.05966	112.2	7.21	6.79	6.51	3.66	7.21	5.94	6.51	4.07	4.38	6.51	3.66	3.82	4.38	6.96	3.39	3.93	4.5	6.75	3.82	6.07	5.08	4.3	3.66	6.7	8.03	7.05	3.93	5.08	8.11	7.5	3.66	4.07	8.03	7.15	3.82	4.18	9.17	9.55	10.22	9.17	8.56	9.48	10.22	9	7.69	9.55	9.97	9	8.07	9.34	10.14	9	8.2	9.34	10.14	9.09	8.56	9.88	10.62	9.62	8.31	9.88	10.49	9.48	8.45	9.72	9.55	8.86	8.24	9.72	9.62	9
-1.07138888888889	69	48	3.89010182263262e-05	8.02333500917978e-05	118.08645	118.2	4.38	6.88	3.82	6.34	4.82	6.88	4.5	6.28	4.82	7.15	5.83	6.42	4.82	7.35	5.35	5.35	5.22	6.51	5.53	5.83	4.96	7.1	5.83	5.7	4.07	6.51	4.82	6.7	4.07	6.79	5.53	5.94	3.93	6.58	5.22	6.88	7.27	6.34	8.11	4.82	6.79	6.07	7.76	6.07	7.98	6.34	8.24	5.83	7.88	6.75	8.11	4.66	7.98	6.34	8.07	6.07	7.62	6.63	7.56	5.94	7.76	6.58	7.5	5.94	7.94	6.18	7.56	4.66	4.66	6.18	7.56	5.53
-0.0708333333333329	47	94	0.670164741240487	0.705811801944768	118.08645	118.2	9.97	9.62	10.62	10.38	9.88	9.48	10.62	10.38	8.45	9.55	10.38	10.49	8.31	9.48	10.38	10.49	7.01	9.48	10.38	10.49	8.31	9.55	10.49	10.38	11.12	9.48	10.38	10.3	11.27	8.03	10.49	10.3	10.85	9.55	10.49	10.22	9	9.88	12.16	9.88	7.82	9.97	12.16	9.97	7.82	10.22	12.16	10.14	7.82	10.04	12.16	10.04	7.69	10.04	12.16	10.14	8.61	8.93	12.16	10.38	8.56	8.72	12.16	10.38	8.5	8.67	11.54	9.97	8.45	9.88	11.54	9.88
-3.89527777777778	39	8	2.3469147972613e-31	2.90430706161085e-30	377.14538	60.5	4.18	3.66	3.39	2.5	4.38	1.76	3.93	2.5	3.66	4.38	4.07	3.39	3.82	3.93	3.14	2.5	3.82	3.82	3.66	4.18	4.18	3.93	2.5	4.5	5.08	4.18	3.14	2.5	5.22	3.93	3.82	3.14	5.83	3.93	3.66	3.66	6.75	7.35	8.5	7.69	6.88	7.5	8.67	7.62	6.63	7.69	8.5	7.69	6.58	7.69	8.45	7.56	6.63	7.5	8.45	7.56	7.05	7.69	8.86	8.11	6.75	7.88	8.86	7.94	6.92	7.69	7.88	7.5	6.75	7.21	7.5	7.62
-3.34555555555556	18	20	1.32461965700213e-15	6.55686730216053e-15	258.1096	129.2	9.09	3.93	7.62	6.18	9.09	8.2	7.69	6.63	5.94	8.4	3.14	6.88	5.83	8.36	4.38	6.51	6.75	8.31	6.58	7.88	6.42	8.2	6.28	8.03	9.17	8.61	4.66	7.1	9.17	8.72	5.7	7.21	9.4	8.61	4.66	3.14	9.62	10.62	11.27	9.62	9.72	10.62	11.12	9.62	9.55	10.49	11.54	9.97	9.48	10.3	11.54	10.14	9.55	10.3	11.54	10.04	9.62	10.85	11.54	10.49	9.62	10.85	11.54	10.62	9.4	10.49	10.85	9.72	9.4	10.85	10.62	9.8
