"mz_cluster_label"	"mz"	"time"	"Subject.13.TP.2"	"Subject.12.TP.2"	"Subject.14.TP.2"	"Subject.10.TP.2"	"Subject.15.TP.2"	"Subject.11.TP.2"	"Subject.17.TP.2"	"Subject.18.TP.2"	"Subject.16.TP.2"	"Subject.15.TP.1"	"Subject.14.TP.1"	"Subject.10.TP.1"	"Subject.11.TP.1"	"Subject.17.TP.1"	"Subject.18.TP.1"	"Subject.12.TP.1"	"Subject.13.TP.1"	"Subject.16.TP.1"	"Subject.10.TP.0"	"Subject.11.TP.0"	"Subject.13.TP.0"	"Subject.15.TP.0"	"Subject.18.TP.0"	"Subject.17.TP.0"	"Subject.16.TP.0"	"Subject.12.TP.0"	"Subject.14.TP.0"	"Subject.14.TP.3"	"Subject.17.TP.3"	"Subject.18.TP.3"	"Subject.12.TP.3"	"Subject.13.TP.3"	"Subject.10.TP.3"	"Subject.11.TP.3"	"Subject.15.TP.3"	"Subject.16.TP.3"	"Subject.5.TP.2"	"Subject.6.TP.2"	"Subject.3.TP.2"	"Subject.4.TP.2"	"Subject.8.TP.2"	"Subject.7.TP.2"	"Subject.9.TP.2"	"Subject.1.TP.2"	"Subject.2.TP.2"	"Subject.1.TP.1"	"Subject.6.TP.1"	"Subject.3.TP.1"	"Subject.4.TP.1"	"Subject.2.TP.1"	"Subject.5.TP.1"	"Subject.8.TP.1"	"Subject.7.TP.1"	"Subject.9.TP.1"	"Subject.9.TP.3"	"Subject.1.TP.3"	"Subject.2.TP.3"	"Subject.3.TP.3"	"Subject.4.TP.3"	"Subject.5.TP.3"	"Subject.6.TP.3"	"Subject.7.TP.3"	"Subject.8.TP.3"	"Subject.3.TP.0"	"Subject.4.TP.0"	"Subject.5.TP.0"	"Subject.6.TP.0"	"Subject.1.TP.0"	"Subject.2.TP.0"	"Subject.7.TP.0"	"Subject.8.TP.0"	"Subject.9.TP.0"
6	258.10967	132.6	4.07	4.07	4.3	4.18	4.07	4.18	4.3	4.18	3.82	4.18	4.3	4.18	5.22	5.53	4.18	5.22	4.07	4.18	4.38	4.18	4.3	4.38	4.18	3.93	4.38	4.18	5.7	4.3	4.96	3.93	3.82	4.07	4.3	4.3	4.3	4.3	6.75	6.58	6.34	6.07	6.07	6.28	6.18	6.58	5.53	8.36	8.16	8.36	8.45	8.16	8.07	8.4	8.07	8.03	7.05	6.75	6.58	6.28	5.53	6.18	6.63	7.27	6.92	6.79	6.75	6.28	5.53	6.92	7.15	7.88	8.07	7.82
6	500.30408	161.1	4.38	4.3	6.63	4.66	4.5	5.83	4.66	4.82	4.18	4.5	6.07	4.66	5.53	4.66	4.66	4.38	4.38	4.66	5.94	5.53	5.35	5.53	5.35	4.38	4.96	4.66	4.66	4.82	5.83	4.38	4.3	4.5	4.66	4.82	4.82	4.82	10.62	10.62	10.49	10.49	10.62	10.62	10.62	10.49	10.49	12.16	11.79	12.16	12.16	11.79	11.79	12.16	12.16	11.79	11.79	11.79	11.54	11.27	11.27	11.54	11.54	11.79	11.79	11.27	11.12	11.54	11.54	11.27	11.54	12.16	12.01	12.16
6	170.08106	30	4.96	4.82	4.96	6.88	5.22	4.96	5.53	5.22	4.5	5.08	4.96	5.08	5.08	5.08	6.34	5.08	6.34	5.08	5.22	6.63	5.83	5.22	5.22	5.08	5.35	5.08	4.96	6.79	5.53	5.08	4.66	5.22	5.08	5.35	6.79	5.22	7.01	7.05	7.01	7.05	7.35	7.1	6.96	7.5	1.76	8.61	8.45	8.72	8.72	8.67	8.45	8.5	8.56	8.5	7.1	6.88	7.15	6.75	7.1	7.21	7.41	7.01	7.05	7.21	7.35	6.84	6.63	8.03	8.03	8.24	8.31	8.4
6	161.0196	80.2	4.66	4.5	4.66	4.82	4.82	4.66	4.82	4.96	4.3	4.66	4.66	4.82	4.82	4.82	4.82	4.66	4.82	4.82	4.96	4.96	4.96	4.96	4.96	4.82	5.08	5.83	4.82	5.08	5.08	4.5	6.28	4.82	4.96	5.08	5.08	4.96	5.83	6.07	5.53	4.66	5.94	4.3	4.38	6.84	6.88	7.94	7.94	8.31	8.07	7.88	7.98	5.94	8.5	8.45	7.41	6.42	6.84	7.15	6.63	6.92	7.15	7.15	7.35	6.7	6.84	6.51	6.51	8.07	7.69	8.61	8.61	8.61
6	193.03409	126.7	5.35	5.35	3.14	2.5	4.96	3.14	3.14	2.5	2.5	3.14	3.14	3.14	3.14	4.18	3.14	1.76	3.14	3.14	3.39	5.7	3.14	3.39	3.39	1.76	3.14	3.39	3.14	2.5	3.14	5.35	5.53	5.94	3.14	3.14	3.14	3.14	4.3	4.07	4.5	4.3	3.93	4.18	4.18	4.3	3.82	4.82	5.08	4.82	4.18	4.07	4.3	4.96	5.08	5.08	6.51	4.96	5.83	4.82	4.3	4.38	4.96	5.7	4.96	4.96	5.35	4.82	4.66	4.96	5.08	5.7	5.53	6.07
6	181.20718	95.6	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	4.82	1.76	1.76	1.76	1.76	1.76	1.76	4.82	1.76	1.76	1.76	4.82	1.76	2.5	1.76	4.66	1.76	1.76	1.76	1.76	1.76	4.3	4.38	1.76	1.76	1.76	1.76	1.76	5.08	5.7	5.94	5.7	4.66	5.08	5.35	4.5	6.18	4.5	5.35	5.22	5.35	4.82	4.96	4.07	4.07	4.07	4.5	4.66	4.82	4.5	4.82	4.07	4.82	3.93	4.18	3.93	4.18	1.76	1.76	1.76	3.93	4.3	5.08	4.38
6	120.06562	119.5	5.22	4.96	5.08	8.07	5.53	5.35	5.22	5.53	5.08	6.7	5.35	5.22	5.35	5.22	5.35	5.35	5.08	6.7	5.53	7.56	7.56	7.88	6.28	6.07	5.94	6.28	5.53	5.53	5.94	5.83	5.08	5.7	5.7	5.7	5.53	6.07	8.11	8.16	8.11	7.98	8.56	8.45	8.56	8.67	8.67	9.55	9.88	9.62	9.62	9.55	9.8	9.62	9.55	9.4	8.86	8.79	8.79	8.86	8.86	9	8.93	8.86	8.72	5.35	4.66	4.3	3.66	4.82	3.82	4.5	4.38	5.08
6	484.30826	104.7	5.08	3.39	3.66	4.5	3.39	3.66	3.66	3.39	4.96	3.66	3.66	3.66	3.66	3.39	5.08	3.14	4.5	3.66	3.82	3.39	3.82	3.82	3.82	2.5	3.82	5.22	3.66	3.39	3.66	5.7	2.5	3.39	3.66	3.66	3.66	3.66	4.18	4.96	5.22	5.53	5.83	5.22	4.3	4.38	5.08	5.08	4.96	4.96	4.82	4.5	4.18	4.18	4.38	4.3	5.08	5.94	5.35	4.96	5.08	4.82	4.3	5.53	4.5	4.3	4.5	3.93	4.38	4.66	4.18	3.93	4.18	4.3
3	147.11277	124.4	8.79	8.79	8.79	8.67	8.61	8.72	8.67	8.56	8.4	8.03	7.76	8.2	8.2	7.98	7.76	7.76	7.82	8.03	9.4	9.4	9.25	9.34	9.17	9.17	9.4	9.17	9.4	8.03	8.16	8.03	7.94	7.88	7.88	7.82	8.2	8.07	8.72	8.72	8.4	8.45	8.72	8.72	8.79	8.72	8.86	8.93	8.93	8.93	9.17	8.93	8.86	8.79	8.72	8.72	8.07	7.82	7.76	8.24	8.31	7.98	8.11	8.11	7.98	9.62	9.62	9.8	9.8	9.88	9.8	9.62	9.62	9.8
3	369.12935	49.7	6.79	6.42	6.51	7.05	6.34	7.01	6.84	6.42	6.96	6.42	6.88	6.7	6.18	6.84	6.7	6.75	6.58	6.84	6.63	4.66	6.51	6.58	6.84	6.88	6.63	6.92	6.75	4.66	5.22	6.79	6.58	6.51	6.79	6.75	6.84	6.34	7.1	7.15	7.1	7.15	7.21	7.05	7.21	7.05	7.21	7.62	7.5	7.05	7.27	7.27	7.35	6.28	6.18	5.35	4.3	6.58	6.18	6.96	7.35	6.58	6.75	6.51	6.63	8.36	8.5	9	8.93	7.98	8.56	7.69	7.94	7.88
