"Subject.1.TP.0"	"Subject.1.TP.1"	"Subject.1.TP.2"	"Subject.1.TP.3"	"Subject.2.TP.0"	"Subject.2.TP.1"	"Subject.2.TP.2"	"Subject.2.TP.3"	"Subject.3.TP.0"	"Subject.3.TP.1"	"Subject.3.TP.2"	"Subject.3.TP.3"	"Subject.4.TP.0"	"Subject.4.TP.1"	"Subject.4.TP.2"	"Subject.4.TP.3"	"Subject.5.TP.0"	"Subject.5.TP.1"	"Subject.5.TP.2"	"Subject.5.TP.3"	"Subject.6.TP.0"	"Subject.6.TP.1"	"Subject.6.TP.2"	"Subject.6.TP.3"	"Subject.7.TP.0"	"Subject.7.TP.1"	"Subject.7.TP.2"	"Subject.7.TP.3"	"Subject.8.TP.0"	"Subject.8.TP.1"	"Subject.8.TP.2"	"Subject.8.TP.3"	"Subject.9.TP.0"	"Subject.9.TP.1"	"Subject.9.TP.2"	"Subject.9.TP.3"	"Subject.10.TP.0"	"Subject.10.TP.1"	"Subject.10.TP.2"	"Subject.10.TP.3"	"Subject.11.TP.0"	"Subject.11.TP.1"	"Subject.11.TP.2"	"Subject.11.TP.3"	"Subject.12.TP.0"	"Subject.12.TP.1"	"Subject.12.TP.2"	"Subject.12.TP.3"	"Subject.13.TP.0"	"Subject.13.TP.1"	"Subject.13.TP.2"	"Subject.13.TP.3"	"Subject.14.TP.0"	"Subject.14.TP.1"	"Subject.14.TP.2"	"Subject.14.TP.3"	"Subject.15.TP.0"	"Subject.15.TP.1"	"Subject.15.TP.2"	"Subject.15.TP.3"	"Subject.16.TP.0"	"Subject.16.TP.1"	"Subject.16.TP.2"	"Subject.16.TP.3"	"Subject.17.TP.0"	"Subject.17.TP.1"	"Subject.17.TP.2"	"Subject.17.TP.3"	"Subject.18.TP.0"	"Subject.18.TP.1"	"Subject.18.TP.2"	"Subject.18.TP.3"
8.07	7.94	6.84	6.42	7.69	7.88	6.88	6.84	6.7	8.31	5.53	7.15	6.84	8.07	4.66	6.63	6.51	7.98	5.83	6.92	6.51	7.94	6.07	7.15	8.61	8.5	4.3	7.15	8.61	5.94	5.94	7.35	8.61	8.45	4.38	7.41	4.96	4.82	4.82	4.96	4.96	4.82	4.66	5.08	5.83	4.66	4.5	6.28	4.96	4.82	4.66	4.82	4.82	4.66	4.66	5.08	4.96	4.66	4.82	5.08	5.08	4.82	4.3	4.96	4.82	4.82	4.82	5.08	4.96	4.82	4.96	4.5
3.82	1.76	4.66	3.82	3.66	3.82	4.96	3.82	4.18	2.5	6.28	3.66	4.3	2.5	5.83	3.66	3.39	3.14	5.94	3.66	3.82	3.14	5.53	3.82	3.14	3.14	5.94	3.66	3.14	3.14	4.82	3.66	2.5	3.39	6.07	3.82	6.07	5.53	5.94	6.7	6.42	4.66	6.34	6.92	5.7	5.94	5.94	6.96	5.53	6.07	5.7	6.79	5.94	5.53	5.53	6.7	5.7	5.7	5.94	7.1	6.18	5.83	5.94	7.01	6.28	5.94	5.94	6.58	5.94	5.83	6.18	6.7
7.41	6.75	7.69	7.94	7.1	6.63	7.41	7.98	7.5	6.75	7.27	7.94	7.94	6.84	7.56	7.76	7.94	6.84	7.41	7.56	7.82	6.84	7.41	7.27	6.96	7.1	7.62	7.56	6.75	6.88	7.62	8.07	6.96	6.84	7.62	7.88	7.98	8.11	8.16	8.24	8.03	8.07	8.24	8.16	8.31	8.24	8.16	8.2	8.16	8.24	8.07	8.11	8.24	8.24	8.2	8.2	7.98	7.88	7.98	8.07	7.98	8.24	7.88	8.11	8.07	8.24	8.4	8.2	8.03	8.31	8.24	8.2
5.22	6.84	3.66	4.38	4.3	6.58	4.07	5.22	4.66	6.7	5.08	4.38	3.14	6.75	4.82	5.22	4.66	6.18	5.22	4.5	4.5	6.58	4.3	4.07	4.38	6.07	4.5	5.22	3.82	6.18	4.38	4.66	3.82	6.18	4.96	4.66	7.88	7.01	7.88	5.83	7.88	6.63	7.82	6.18	8.11	7.05	7.35	5.22	7.98	6.92	7.62	6.07	8.11	7.05	7.69	5.35	7.76	6.79	7.62	5.35	7.82	7.1	7.56	5.08	7.88	6.79	7.15	6.28	7.88	6.92	7.05	4.96
8.03	8.61	7.5	6.88	8.03	8.67	1.76	7.15	7.21	8.72	7.01	6.75	7.35	8.72	7.05	7.1	6.84	8.45	7.01	7.21	6.63	8.45	7.05	7.41	8.24	8.56	7.1	7.01	8.31	8.5	7.35	7.05	8.4	8.5	6.96	7.1	5.22	5.08	6.88	5.08	6.63	5.08	4.96	5.35	5.08	5.08	4.82	4.66	5.83	6.34	4.96	5.22	4.96	4.96	4.96	6.79	5.22	5.08	5.22	6.79	5.35	5.08	4.5	5.22	5.08	5.08	5.53	5.53	5.22	6.34	5.22	5.08
1.76	4.5	4.5	4.66	3.93	4.82	6.18	4.82	3.93	5.22	5.94	4.5	4.18	5.35	5.7	4.82	1.76	4.96	5.08	4.07	1.76	5.35	5.7	4.82	4.3	4.07	5.08	3.93	5.08	4.07	4.66	4.18	4.38	4.07	5.35	4.5	1.76	1.76	1.76	1.76	4.82	1.76	1.76	1.76	1.76	4.82	1.76	4.38	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	2.5	1.76	1.76	1.76	1.76	1.76	4.82	1.76	4.66	1.76	1.76	1.76	1.76	1.76	1.76	4.3
8.5	8.07	8.45	8.86	8.16	8.31	8.45	8.86	7.69	7.98	7.98	9.09	7.5	8.16	8.16	9.17	8.36	8.2	7.88	8.93	8.16	8.31	7.98	9	7.5	8.16	8.24	9	7.69	8.11	8.11	9	7.21	7.98	8.16	9	8.67	9.17	9.97	9.25	9.17	9.34	10.04	9.09	8.5	9	10.14	9.34	8.72	9.25	10.22	9.25	8.79	9.25	10.22	9.25	8.4	9.34	9.97	8.93	8.61	9.25	9.97	8.93	8.36	9.34	9.88	9.25	8.5	9.48	9.97	9.34
6.28	6.51	7.27	7.35	6.51	6.51	6.96	7.27	7.1	6.58	7.76	7.05	7.01	5.83	7.69	6.84	6.96	6.28	7.21	6.34	6.79	5.83	7.27	6.88	6.28	5.94	7.5	6.92	5.94	6.07	7.5	6.58	5.53	5.94	7.15	6.75	7.76	7.82	7.5	8.03	7.76	7.88	7.35	8.07	7.76	7.56	7.56	7.98	7.41	7.41	7.15	8.07	7.62	7.56	7.21	7.98	7.56	7.56	6.92	7.94	7.62	7.69	6.92	7.76	7.82	7.76	7.5	8.07	7.82	7.69	7.41	7.98
6.42	4.07	3.14	4.3	5.53	3.93	3.39	3.66	5.83	4.18	2.5	4.3	6.07	4.38	2.5	4.96	6.63	4.66	2.5	4.66	6.58	4.18	3.14	4.66	4.82	3.82	2.5	6.07	4.5	3.82	3.14	5.53	4.66	4.38	2.5	5.53	6.92	7.1	8.56	5.94	6.96	7.27	8.4	4.96	6.79	6.96	7.82	5.35	6.7	7.01	8.03	4.96	6.79	6.63	8.31	4.07	6.63	7.05	7.27	4.07	6.7	7.05	7.15	4.07	6.58	7.21	7.62	4.07	6.63	7.5	7.69	6.07
5.83	7.27	6.34	6.51	5.35	7.21	6.42	6.7	6.34	6.84	6.79	6.92	6.42	6.92	6.88	6.7	6.88	6.34	6.42	6.7	6.84	6.79	6.42	5.83	6.18	6.28	6.84	6.18	5.83	6.75	6.42	5.83	5.94	6.42	6.75	5.94	6.18	8.03	7.41	7.27	5.83	7.98	7.27	7.56	6.96	7.82	7.5	7.01	6.88	7.88	7.5	6.88	6.92	7.82	7.62	7.05	6.7	7.98	7.5	7.21	7.05	8.07	7.41	7.15	6.96	8.11	7.41	6.7	6.88	8.11	7.21	7.21
7.69	6.07	7.41	7.27	7.01	6.18	7.5	7.35	7.15	6.28	7.56	7.69	7.62	6.28	7.5	7.94	7.82	7.01	7.62	8.07	7.62	6.63	7.69	7.76	7.01	7.15	7.69	7.88	7.05	7.27	7.88	8.11	7.01	7.21	7.76	8.03	8.03	8.16	8.03	8.5	8.45	8.24	8.11	8.45	8.16	8.16	7.41	8.31	8.2	8.31	7.82	8.31	8.07	8.03	7.35	8.36	8.16	8.07	7.82	8.31	8.11	8.2	7.94	8.31	8.16	8.2	7.94	8.36	8.16	8.16	7.98	8.36
5.94	6.7	3.93	7.56	5.83	6.07	2.5	7.05	6.51	6.79	4.3	7.1	6.63	6.88	6.51	6.75	6.58	7.05	4.96	6.96	6.28	7.05	4.82	7.01	5.83	6.63	6.18	7.21	6.28	6.96	6.34	6.96	6.18	6.88	5.83	6.58	9.48	7.27	8.2	6.34	9.55	7.21	8.56	5.83	9.72	8.31	8.4	6.42	9.62	7.98	8.56	6.34	9.62	8.11	8.56	6.34	9.55	7.82	8.16	6.51	9.55	7.76	8.24	6.58	9.25	7.94	7.98	6.42	9.34	7.82	8.07	6.42
4.5	4.38	5.53	6.07	4.96	4.18	5.94	5.7	6.28	3.82	7.15	5.94	6.51	4.3	7.27	6.18	5.83	3.66	6.96	5.08	5.22	4.38	7.01	5.22	4.96	4.82	7.27	4.82	4.66	4.38	7.05	5.35	4.96	4.18	7.1	4.38	7.15	6.58	5.7	7.82	7.27	6.96	5.94	7.76	7.1	6.79	6.28	7.76	7.1	7.21	6.18	7.76	7.21	6.75	5.7	7.88	7.1	6.96	6.28	7.56	7.5	7.15	6.18	7.5	7.41	6.63	6.75	7.76	7.21	6.58	6.84	7.76
6.34	5.53	5.7	6.63	6.28	5.35	5.83	5.94	5.7	6.07	6.51	5.08	5.7	6.07	5.94	6.28	5.35	5.94	6.28	5.22	5.7	5.22	6.18	6.12	6.84	6.42	5.35	6.63	6.79	6.58	5.08	6.7	6.7	6.28	5.08	6.79	5.08	4.96	4.96	6.18	5.08	4.96	4.82	5.22	4.96	4.96	4.66	4.5	5.08	4.96	4.82	5.08	6.18	4.82	4.82	5.22	5.08	4.96	5.08	5.22	6.28	4.96	6.58	6.92	4.96	4.96	5.7	5.35	5.08	4.96	5.08	4.82
4.96	4.82	4.3	4.96	5.08	4.07	3.82	5.83	4.96	4.82	4.5	4.82	5.35	4.18	4.3	4.3	4.82	4.3	4.3	4.38	4.66	5.08	4.07	4.96	5.7	5.08	4.18	5.7	5.53	4.96	3.93	4.96	6.07	5.08	4.18	6.51	3.39	3.14	2.5	3.14	5.7	3.14	3.14	3.14	3.39	1.76	5.35	5.53	3.14	3.14	5.35	5.94	3.14	3.14	3.14	2.5	3.39	3.14	4.96	3.14	3.14	3.14	2.5	3.14	1.76	4.18	3.14	3.14	3.39	3.14	2.5	5.35
